rho,root,equilibrium
0.432,r3,6.542805314458864
0.433,r1,0.5223577342033383
0.433,r2,2.9188054056459114
0.433,r3,6.558836860150751
0.434,r1,0.5242885019191196
0.434,r2,2.901062611454101
0.434,r3,6.57464888662678
0.435,r1,0.526229033469068
0.435,r2,2.883523221464078
0.435,r3,6.590247745066854
0.436,r1,0.528179464697264
0.436,r2,2.866181050150438
0.436,r3,6.605639485152298
0.437,r1,0.5301399343240727
0.437,r2,2.8490301906834286
0.437,r3,6.620829874992498
0.438,r1,0.5321105840307714
0.438,r2,2.832064996589813
0.438,r3,6.635824419379416
0.439,r1,0.5340915585473708
0.439,r2,2.8152800649138756
0.439,r3,6.650628376538753
0.44,r1,0.5360830057437773
0.44,r2,2.798670220729401
0.44,r3,6.665246773526822
0.441,r1,0.5380850767244544
0.441,r2,2.7822305028706262
0.441,r3,6.679684420404921
0.442,r1,0.5400979259267423
0.442,r2,2.765956150765114
0.442,r3,6.693945923308143
0.443,r1,0.5421217112230179
0.443,r2,2.7498425922644367
0.443,r3,6.708035696512545
0.444,r1,0.54415659402687
0.444,r2,2.733885432379976
0.444,r3,6.721957973593153
0.44499999999999995,r1,0.5462027394034891
0.44499999999999995,r2,2.718080442841017
0.44499999999999995,r3,6.735716817755493
0.44599999999999995,r1,0.5482603161844757
0.44599999999999995,r2,2.702423552401115
0.44599999999999995,r3,6.749316131414409
0.44699999999999995,r1,0.5503294970872831
0.44699999999999995,r2,2.6869108378263267
0.44699999999999995,r3,6.76275966508639
0.44799999999999995,r1,0.5524104588395247
0.44799999999999995,r2,2.671538515505696
0.44799999999999995,r3,6.77605102565478
0.44899999999999995,r1,0.5545033823083898
0.44899999999999995,r2,2.656302933630344
0.44899999999999995,r3,6.789193684061267
0.44999999999999996,r1,0.5566084526354241
0.44999999999999996,r2,2.641200564892805
0.44999999999999996,r3,6.80219098247177
0.45099999999999996,r1,0.5587258593769499
0.45099999999999996,r2,2.626227999662939
0.45099999999999996,r3,6.815046140960112
0.45199999999999996,r1,0.560855796650412
0.45199999999999996,r2,2.6113819396009252
0.45199999999999996,r3,6.827762263748663
0.45299999999999996,r1,0.5629984632869609
0.45299999999999996,r2,2.596659191671486
0.45299999999999996,r3,6.840342345041554
0.45399999999999996,r1,0.5651540629905971
0.45399999999999996,r2,2.582056662526913
0.45399999999999996,r3,6.85278927448249
0.45499999999999996,r1,0.5673228045042213
0.45499999999999996,r2,2.5675713532292503
0.45499999999999996,r3,6.865105842266528
0.45599999999999996,r1,0.5695049017829639
0.45599999999999996,r2,2.553200354284782
0.45599999999999996,r3,6.8772947439322545
0.45699999999999996,r1,0.5717005741751787
0.45699999999999996,r2,2.5389408409662084
